service_date,day_type,bus,rail_boardings,total_rides
1/1/01,U,297192,126455,423647
1/2/01,W,780827,501952,1282779
1/3/01,W,824923,536432,1361355
1/4/01,W,870021,550011,1420032
1/5/01,W,890426,557917,1448343
1/6/01,A,577401,255356,832757
1/7/01,U,375831,169825,545656
1/8/01,W,985221,590706,1575927
1/9/01,W,978377,599905,1578282
1/10/01,W,984884,602052,1586936
1/11/01,W,995561,607503,1603064
1/12/01,W,1018985,605252,1624237
1/13/01,A,591791,270056,861847
1/14/01,U,373091,174842,547933
1/15/01,W,675845,412149,1087994
1/16/01,W,1024367,622163,1646530
1/17/01,W,1018690,620343,1639033
1/18/01,W,1006996,618832,1625828
1/19/01,W,909964,583851,1493815
1/20/01,A,582348,263815,846163
1/21/01,U,378381,172107,550488
1/22/01,W,1005936,598777,1604713
1/23/01,W,1019983,610352,1630335
1/24/01,W,991661,606835,1598496
1/25/01,W,1004257,609877,1614134
1/26/01,W,965324,597039,1562363
1/27/01,A,590836,268078,858914
1/28/01,U,368819,174434,543253
1/29/01,W,953532,587052,1540584
1/30/01,W,982046,607858,1589904
1/31/01,W,999392,610508,1609900
2/1/01,W,1054608,615268,1669876
2/2/01,W,966701,577767,1544468
2/3/01,A,611703,263612,875315
2/4/01,U,404212,178398,582610
2/5/01,W,1045944,600588,1646532
2/6/01,W,1039393,612435,1651828
2/7/01,W,1015059,609022,1624081
2/8/01,W,1007760,610237,1617997
2/9/01,W,970826,593354,1564180
2/10/01,A,605404,271313,876717
2/11/01,U,405433,178810,584243
2/12/01,W,872330,539393,1411723
2/13/01,W,1050834,622753,1673587
2/14/01,W,1004304,610966,1615270
2/15/01,W,1028938,613323,1642261
2/16/01,W,1033040,601418,1634458
2/17/01,A,591717,269294,861011
2/18/01,U,388788,176855,565643
2/19/01,W,782447,457891,1240338
2/20/01,W,1035400,610284,1645684
2/21/01,W,986212,600133,1586345
2/22/01,W,986399,606302,1592701
2/23/01,W,1024235,602352,1626587
2/24/01,A,505193,246795,751988
2/25/01,U,351637,172132,523769
2/26/01,W,1009329,609256,1618585
2/27/01,W,1000630,609305,1609935
2/28/01,W,990416,610013,1600429
3/1/01,W,1051889,618440,1670329
3/2/01,W,1062234,611578,1673812
3/3/01,A,678870,286786,965656
3/4/01,U,385978,178292,564270
3/5/01,W,863086,549759,1412845
3/6/01,W,1013530,603561,1617091
3/7/01,W,1028462,616666,1645128
3/8/01,W,1000946,611371,1612317
3/9/01,W,1038368,606672,1645040
3/10/01,A,633472,283251,916723
3/11/01,U,410081,188228,598309
3/12/01,W,979411,588857,1568268
3/13/01,W,1017685,611347,1629032
3/14/01,W,1025283,619417,1644700
3/15/01,W,960667,596612,1557279
3/16/01,W,923613,583359,1506972
3/17/01,A,602158,343893,946051
3/18/01,U,412146,194257,606403
3/19/01,W,1021700,602469,1624169
3/20/01,W,1034388,618340,1652728
3/21/01,W,1029332,616764,1646096
3/22/01,W,1030741,617815,1648556
3/23/01,W,1030685,605605,1636290
3/24/01,A,604139,277028,881167
3/25/01,U,348817,170742,519559
3/26/01,W,989316,583176,1572492
3/27/01,W,1017904,600914,1618818
3/28/01,W,1007699,601999,1609698
3/29/01,W,1020098,605027,1625125
3/30/01,W,978244,590403,1568647
3/31/01,A,626223,280950,907173
4/1/01,U,417716,192717,610433
4/2/01,W,1023629,611098,1634727
4/3/01,W,1057275,613993,1671268
4/4/01,W,1047634,625348,1672982
4/5/01,W,973118,606535,1579653
4/6/01,W,1015046,611352,1626398
4/7/01,A,642265,297971,940236
4/8/01,U,437035,200720,637755
4/9/01,W,998290,596418,1594708
4/10/01,W,1024817,613311,1638128
4/11/01,W,985906,606764,1592670
4/12/01,W,991795,608691,1600486
4/13/01,W,865706,527116,1392822
4/14/01,A,628526,279728,908254
4/15/01,U,364972,163191,528163
4/16/01,W,859713,564614,1424327
4/17/01,W,877834,583859,1461693
4/18/01,W,907539,599600,1507139
4/19/01,W,917518,596505,1514023
4/20/01,W,922082,590659,1512741
4/21/01,A,603039,293701,896740
4/22/01,U,384255,185526,569781
4/23/01,W,979788,590446,1570234
4/24/01,W,1031150,618513,1649663
4/25/01,W,977794,609447,1587241
4/26/01,W,1028140,624617,1652757
4/27/01,W,1034472,610723,1645195
4/28/01,A,624970,289747,914717
4/29/01,U,423377,200002,623379
4/30/01,W,1008390,600424,1608814
5/1/01,W,1067496,632996,1700492
5/2/01,W,1034088,627894,1661982
5/3/01,W,1065048,634792,1699840
5/4/01,W,1046692,621087,1667779
5/5/01,A,637957,307025,944982
5/6/01,U,417760,206450,624210
5/7/01,W,1007381,598338,1605719
5/8/01,W,1044379,621604,1665983
